obsid,time_center_s,time_halfwidth_s,hard_counts,soft_counts,HR,HR_err
30892,860542012.448239,81.35265481472015,5,2,0.42857142857142855,0.34149388838125533
30892,860542175.1535487,81.3526548743248,1,2,-0.3333333333333333,0.5443310539518174
30892,860542337.8588583,81.3526548743248,2,0,1.0,0.0
30892,860542500.5641681,81.35265481472015,4,2,0.3333333333333333,0.3849001794597505
30892,860542663.2694777,81.35265481472015,2,1,0.3333333333333333,0.5443310539518174
30892,860543314.0907165,81.35265481472015,0,1,-1.0,0.0
29128,819639113.0355761,55.439456045627594,1,1,0.0,0.7071067811865476
29128,819639223.9144882,55.43945610523224,1,0,1.0,0.0
29128,819639334.7934004,55.43945610523224,1,1,0.0,0.7071067811865476
29128,819639445.6723125,55.439456045627594,3,1,0.5,0.4330127018922193
29128,819639556.5512247,55.439456045627594,3,0,1.0,0.0
29128,819639667.4301368,55.43945610523224,4,0,1.0,0.0
29128,819639889.1879611,55.439456045627594,4,1,0.6,0.35777087639996635
29128,819640110.9457854,55.43945610523224,1,0,1.0,0.0
28964,813228541.0354486,136.54100781679153,0,1,-1.0,0.0
28964,813229087.1994798,136.54100781679153,1,0,1.0,0.0
28964,813229360.2814953,136.5410077571869,1,1,0.0,0.7071067811865476
28964,813229633.3635108,136.54100781679153,0,1,-1.0,0.0
28964,813230452.6095576,136.54100781679153,1,2,-0.3333333333333333,0.5443310539518174
28964,813230725.6915733,136.5410077571869,1,0,1.0,0.0
28964,813230998.7735889,136.54100781679153,1,0,1.0,0.0
18927,629536859.6905193,293.0593526959419,1,0,1.0,0.0
18927,629538031.9279304,293.0593526959419,3,0,1.0,0.0
18927,629538618.0466357,293.05935275554657,1,0,1.0,0.0
18927,629539204.1653411,293.0593526959419,1,0,1.0,0.0
18927,629540376.402752,293.05935275554657,2,0,1.0,0.0
18927,629541548.640163,293.05935275554657,2,0,1.0,0.0
