Photon#,Time_s_since_obs_start,UTC,Energy_keV
1,0.0,2037-11-24T11:16:54.738,6.332
2,1071.0941931009293,2037-11-24T11:34:45.832,4.855
3,1181.0305993556976,2037-11-24T11:36:35.768,6.825
4,1476.2883969545364,2037-11-24T11:41:31.026,4.268
5,1702.4433401823044,2037-11-24T11:45:17.181,6.945
6,1721.2895913124084,2037-11-24T11:45:36.027,5.925
7,1981.996036529541,2037-11-24T11:49:56.734,3.841
8,2258.4077327251434,2037-11-24T11:54:33.145,7.21
9,2377.767349720001,2037-11-24T11:56:32.505,6.492
10,2393.47256064415,2037-11-24T11:56:48.210,4.431
11,2886.616319656372,2037-11-24T12:05:01.354,4.058
12,2889.7573598623276,2037-11-24T12:05:04.495,4.724
13,2899.180490374565,2037-11-24T12:05:13.918,8.104
14,3329.5035158395767,2037-11-24T12:12:24.241,6.5
15,3382.901268839836,2037-11-24T12:13:17.639,4.018
16,3505.4020060300827,2037-11-24T12:15:20.140,6.41
17,3926.3020508289337,2037-11-24T12:22:21.040,4.596
18,3929.44309091568,2037-11-24T12:22:24.181,5.897
19,3970.276683330536,2037-11-24T12:23:05.014,7.381
20,4020.533416390419,2037-11-24T12:23:55.271,5.255
21,4903.167438149452,2037-11-24T12:38:37.905,4.555
22,5038.232465982437,2037-11-24T12:40:52.970,4.885
23,5091.630279183388,2037-11-24T12:41:46.368,6.413
24,5861.187054395676,2037-11-24T12:54:35.925,4.807
25,7196.133162736893,2037-11-24T13:16:50.871,5.408
26,9495.383417844772,2037-11-24T13:55:10.121,6.783
27,12036.497147202492,2037-11-24T14:37:31.235,6.305
